80,"INTRODUCCION A LA LOGICA MATEMATICA",Suppes,Hill
81,"CUENTOS COMPLETOS","Pla, Josefina",
82,"ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",
83,"ARQUITECTURA DE COMPUTADORES",Anasagasti,Angulo
84,"MENTES CREATIVAS","Howard Gardner",
85,"MATERIAIS ELETRICOS","Delcyr Barbosa Saraiva",
86,"INSTALACOES ELECTRICA","Helio Creder",
87,"ROBOTICA PRACTICA - TECNOLOGIA Y APLICACIONES","Angulo Usategui",
88,"MECANICA VECTORIAL PARA INGENIEROS - ESTATICA",Beer,Johnston
89,"RESISTENCIA DOS MATERIAIS","Beer, Ferdinand","Russell, Johnston"
90,"ALGEBRA LINEAL",Fraleigh,Beaurengrad
91,"INSTALACION ELECTRICA DE BAJA TENSION                                                               ","Kemper; Messeguer                                                                                   ","Kihara; Herreros                                                                                    "
92,"NOVELL NETWARE - SOLUCIONARIO DE PROBLEMAS",Scarola,
93,"VISION ARTIFICIAL POR COMPUTADOR",Angulo,"I?igo Madrigal"
94,"N.C.R. IMOS COBOL STUDENT TEXT",N.C.R.,
95,"CALCULO CON GEOMETRIA ANALITICA",Purcell,Varberg
96,"CONJUNTOS - APLICACIONES MATEMATICAS A LA ADMINIST",KLEIMAN,
97,"ALGEBRA  LINEAL","Jesus Rojo",
98,"ANALISIS ESTRUCTURADO MODERNO                                                                       ","Yourdon                                                                                             ","                                                                                                    "
99,"ANALISIS DE REDES","Van Valkenburg",
100,"LINHAS DE TRANSMISSAO E CIRCUITOS",Johnson,
101,"ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",
102,"MANUAL DE ENGENHARIA ELETRICA",Siemens,
103,"MANUAL DE ENGENHARIA ELETRICA",Siemens,
104,"MANUAL DE ENGENHARIA ELETRICA",Siemens,
105,"INSTALACOES ELETRICAS",Siemens,
106,"INSTALACOES ELETRICAS",SAIEMENS,
107,"INSTALACOES ELETRICAS",Siemens,
108,"INSTALACOES ELETRICAS",Siemens,
109,"INSTALACOES ELETRICAS PREDIAIS","Alfonso Martignoni",
110,ELECTROTECNIA,"Pablo Alcalde S. Miguel",
111,"REPUBLICA BOLIVARIANA DE VENEZUELA - CUADERNO DE L","EMBAJADA DE VENEZUELA",
112,"Fisica Universitaria",Sears,Zemansky
113,"INSTALACAO ELECTRICAS","Ademaro A. M.","B. Cotrim"
114,"ORIGENES DE LA GUERRA DE LA TRIPLE ALIANZA",Horton,
115,"RESISTENCIA DE MATERIALES","Berrocal, Luis O.",
116,"HISTORIA DE LA ESTUPIDEZ HUMANA","Paul Tabori",
117,"B.B.I. dBASE II Y dBASE III",INGELEK,
118,"B.B.I. COMO ELEGIR UN ORDENADOR",INGELEK,
119,"B.B.I. INTELIGENCIA ARTIFICIAL Y SISTEMAS EXPERTOS",INGELEK,
120,"B.B.I. CUIDADOS DEL ORDENADOR",INGELEK,
121,"B.B.I. PROGRAMANDO COMO ES DEBIDO. N? 9",INGELEK,
122,"Estrategias para Especificacao de Sistema em Tempo Real",Hatley,Pirbhai
123,"B.B.I. BANCO DE DATOS II. N? 22",INGELEK,
124,"Ejercitario de Algoritmica","Lic. Britez, Victor A.",
125,"EL MICROPROCESADOR Y SUS APLICACIONES",Aspinall,
126,"ANALISIS Y DISE?O ORIENTADO A OBJETOS",Martin,Odell
127,"TEORIA DE CONJUNTOS Y TEMAS AFINES",LIPSCHUTZ,
128,"MATEMATICAS PARA COMPUTACION",Lipschutz,
129,"ALGEBRA LINEAL","de Burgos, Juan",
130,"1001 TRUCOS PARA DOS Y PC, Y 114 TRUCOS MAS DE DOS                                                  ","Jamsa                                                                                               ","                                                                                                    "
131,"50 IDEAS CONCRETAS PARA MEJORAR SU EMPRESA                                                          ","Sanguinetti                                                                                         ","                                                                                                    "
132,"SOFTWARE Y HARDWARE DE SU PC",Carballar,
133,"INTRODUCCION A LA INGENIERIA DE LA FIBRA OPTICA                                                     ","Mart?nez                                                                                            ","                                                                                                    "
134,"PASCAL Y ESTRUCTURA DE DATOS                                                                        ","Dale                                                                                                ","Lilly                                                                                               "
135,"REINGENIERIA DE PROCESOS","de Oliveira",
136,"PROBLEMAS RESUELTOS DE TEORIA DE CIRCUITOS","A. gomez Exp?sito","J. A. Oliveira Ortiz de Urbina"
137,"SISTEMAS POLIFASICOS","Baldomero Gonz?lez Sanchez",
138,"USINAS HIDRELECTRICAS","Gerhard P. Schreiber",
139,"INTRODUCCION A LA SOCIOLOGIA GENERAL","Guy Rocher",
140,"TURISMO E MEIO AMBIENTE NO BRASIL","Zysman Neiman","Andr?a Rabinovici"
141,"NUEVAS TECNOLOGIAS APLICADAS A LA EDUCACION","Julio Cabero Almenara",
143,"HISTORIA PARAGUAYA","ACADEMIA PARAGUAYA",
144,"CLIPPER VERSION 5.0",Garcia,Badell
145,"ARITMETICA - TEORICO PRACTICA",Baldor,
146,"HABLEMOS INGLES","ROMEISER - BRUNO",RICE
147,"TELECOMUNICACIONES PARA PC",Dourak,Anis
148,"SISTEMAS OPERATIVOS - CONCEPTOS FUNDAMENTALES","Silberschatz, Peterson",Galvin
149,"HOW SOFTWARE WORKS",White,
150,"MICROPROCESADORES 8080 E 8085 HARDWARE",Franceschini,
151,"ALGEBRA LINEAL","Jesus Rojo",
152,"MATEMATICAS APLICADAS PARA ADMINISTRACION, ECONOMI",Budnick,
153,"TEORIA DE LA SOCIEDAD Y PEDAGOGIA",Luhmann,
154,"SISTEMAS DE CONTROL EN TIEMPO DISCRETO                                                              ","OGATA, KATSUHIKO                                                                                    ","                                                                                                    "
155,"INTRODUCCION A LOS SISTEMAS OPERATIVOS",E.Alcalde,"J. Morera"
156,"FISICA *",Tipler,
157,"ROBOTICS: CONTROL, VISION AND INTELLIGENCE","Fu, Gonz?lez",Lee
158,"FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",
159,"MECANICA DE LOS FLUIDOS","Merle C. Potter","David C Wiggert"
160,"CALCULO DIFERENCIAL E INTEGRAL",Ayres,Meldelson
161,"Comunicacao de Dados",Alves,
162,"FISICA *",Tippler,
163,"FISICA PARA ESTUDIANTES DE CIENCIAS E INGENIERIA","Frederick J. Bueche",
164,"INGENIERIA DEL SOFTWARE UN ENFOQUE PRACTICO",Pressman,
165,"FISICA CONCEPTOS Y APLICACIONES","Tippens, Paul",
166,"FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",
167,"FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",
168,"MS - DOS. VERSION 5.0","Hyunday Electronics",
169,"MS - DOS. VERSION 5.0","Hyunday Electronics",
170,"INFORMATICA E O HOMEN - INFORMATICA SUCESU 89",Lazzarini,
171,"WINDOWS MICROSOFT VERSION 3.1","Microsoft Corporation",
172,FISICA,"Raymond A. Serway.","Jerry S. Faughn"
173,"CALCULO CON GEOMETRIA ANALITICA",Purcell,Varberg
174,"CALCULO CON GEOMETRIA ANALITICA",PROTTER,MORREY
175,"FISICA 1","Halliday - Resnick",Krane
184,"EL LIBRO DEL LOTUS 1-2-3","Alan Simpson",
185,"IBM PC AT - GUIA DE PROGRAMACAO                                                                     ","James T. Smith                                                                                      ","                                                                                                    "
186,"MATEMATICAS AVANZADAS PARA INGENIERIA",Kreyszing,
187,"LINEAS DE TRANSPORTE DE ENERGIA","CHECA, LUIS MARIA",
188,"LOS HOMBRES DE CELINA","Halley Mora",
189,"INTRODUCCION A LA INVESTIGACION DE OPERACIONES",Hillier,Liebermann
190,"ANALISIS NUMERICO","Richard L. Burden","J. Douglas Faires"
191,"MATEMATICAS PARA COMPUTACION",Lipschutz,
192,"PROTECCION DE INSTALACIONES ELECTRICAS INDUSTRIALE",HARPER,
193,"METODOLOGIA DE LA PROGRAMACION","M. Angel Rodr?guez",
194,"RESISTENCIA DE MATERIALES","Ort?z Berrocal, Luis",
195,"CALCULO DIFERENCIAL E INTEGRAL",Larson,Hostetler
196,"CALCULO CON GEOMETRIA ANALITICA",Larson,Hostetler
197,ESTADISTICA,Spiegel,
198,"FISICA GENERAL","Frederick J. Bueche",
199,"FISICA - VOLUMEN 1",Resnick,"Halliday - Krane"
200,"ENGLISH COMPUTER SCIENCE","Norma Mullen","Charles Brown"
201,"ENGLISH COMPUTER SCIENCE","Norma Mullen","Charles Brown"
202,"ENGLISH COMPUTER SCIENCE","Norma Muller","Charles Brown"
203,"ENGLISH COMPUTER SCIENCE","Norma Muller","Charles Brown"
204,"AN EASY GAME CALLED ENGLISH","Lafayatte Megale","Terezinha Fern?ndez"
205,"AN EASY GAME CALLED ENGLISH","Lafayatte Megale","Terezinha Fern?ndez"
206,"AN EASY GAME CALLED ENGLISH","Lafayatte Megale","Terezinha Fern?ndez"
207,"INTRODUCCION A LA LOGICA MATEMATICA","Patrik Suppes","Shirley Hill"
208,"COMPUTER DICTIONARY",Microsoft,
209,"PROBABILIDAD Y APLICACIONES ESTADISTICAS",Meyer,
210,"FUNDAMENTOS DE PROGRAMACION","Joyanes Aguilar",
211,"PROGRAMACION EN C",Gottfried,1
212,"FISICA *",Tippler,
213,"Fisica Universitaria",Sears,Zemansky
214,"GEOMETRIA ANALITICA",Kindle,
215,"MATEMATICAS ESPECIALES PARA COMPUTACION","Jose L. Garc?a Valle",
216,"INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE","HELFRICK, ALBERT D.","COOPER, WILLIAM D."
217,"INSTRUMENTACION ELECTRONICA MODERNA Y TECNICAS DE","HELFRICK, ALBERT D.","COOPER, WILLIAM D."
218,"FISICA *",Tipler,
219,"APRENDER A APRENDER, TECNICAS DE ESTUDIOS",,
220,ESTADISTICA,Spiegel,
221,"C.C.A.A. NO 2? GRAU","Dpto. de Pesquisa e Planejamen",
222,"TECNICAS DE BASES DE DATOS - ESTRUCTURACION EN DIS","Shakuntala Atre",
223,"METODOLOGIA DE LA PROGRAMACION",Rodriguez,
224,ECONOMIA,Samuelson,Nordhaus
225,"MATEMATICAS AVANZADAS PARA INGENIERIA 1",Kreyszing,
226,"MATEMATICAS AVANZADAS PARA INGENIERIA 1","KREYSZIG, ERWIN",
227,"GEOMETRIA ANALITICA",Fuller,Tarwater
228,"CURSO DE WINDOWS 3.0 BASICO                                                                         ","MasterChip Corporation                                                                              ","                                                                                                    "
229,"MATEMATICAS ESPECIALES PARA COMPUTACION                                                             ","Jose L. Garc?a V.                                                                                   ","                                                                                                    "
230,"MATEMATICAS ESPECIALES PARA COMPUTACION","Jose L. Garc?a V.",
231,"MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",
232,"MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",
233,"MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",
234,"MATEMATICAS PARA COMPUTACION","Seymour Lipschutz",
235,"INTRODUCCION A LOS SISTEMAS OPERATIVOS","Alcalde, Pascual","Perez, Campanero"
236,"IBM SISTEMAL/3 RPG II - MANUAL DE CONSULTA","Internat Machines Corporation",
237,"ESTRUCTURA DE LA INFORMACION: ORGAN. DE FICHEROS","Mu?oz L?pez",
238,"INTRODUCCION A LA INVESTIGHACION DE OPERACIONES",Hillier,Lieberman
239,"COMUNICACION ORAL Y ESCRITA","Mart?nez- S?nchez","Artecona- Salomoni"
240,"LA LITERATURA PARAGUAYA COMO EXPRESION DE LA REALI",Vallejos,
241,"MANUAL DE INSTRUMENTOS DE MEDIDAS ELETRONICAS","RUIZ VASSALLO, FRANCISCO",
242,ECONOMIA,LARROULET,MOCHON
243,"CONTROL DE UN SISTEMA DOM?TICO Y SUPERVISI?N DE CONSUMO ENERG?TICO MEDIANTE SERVIDOR Y APLICACI?N ANDROID","Cristhian David Ben?tez Esp?nola.","Cristian Eduardo Olmedo Avalos"
244,"INTRODUCAO A PROTECAO DOS SISTEMAS ELETR","CAMINHA, AMADEU C.",
245,"CONTROL DE UN SISTEMA DOM?TICO Y SUPERVISI?N DE CONSUMO ENERG?TICO MEDIANTE SERVIDOR Y APLICACI?N ANDROID","Cristhian David Ben?tez Esp?nola.","Cristian Eduardo Olmedo Avalos"
246,"SISTEMA INFORM?TICO GANADERO (SIG)","Ismenia Mar?a P?rez G?mez",
247,"ECUACIONES DIFERENCIALES - TEORIA Y PROBLEMAS",Ayres,
248,"GEOMETRIA ANALITICA",Fuller,Tarwater
