"76","MECANICA VECTORIAL PARA INGENIEROS                                                                  ","Nara, Harry                                                                                         ","                                                                                                    ","1"
"77","ANALISE DE CIRCUITOS EN ENGENHARIA                                                                  ","Hayt                                                                                                ","Kemmerly                                                                                            ","1"
"78","ENGLISH COMPUTER SCIENCE","D. Mullen","Brown","1"
"79","XVII JORNADAS DE JOVENES INVESTIGADORES-UNIVERSIDAD, CONOCIMIENTO Y DESARROLLO REGIONAL","Universidad Nacional del Entre Rios - Concordia - Argentina",,"Primera Edicion"
"80","INTRODUCCION A LA LOGICA MATEMATICA","Suppes","Hill","1"
"81","CUENTOS COMPLETOS","Pla, Josefina",,"1"
"82","ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",,"4"
"83","ARQUITECTURA DE COMPUTADORES","Anasagasti","Angulo","1"
"84","MENTES CREATIVAS","Howard Gardner",,"1? edici?n"
"85","MATERIAIS ELETRICOS","Delcyr Barbosa Saraiva",,
"86","INSTALACOES ELECTRICA","Helio Creder",,"10? edici?n"
"87","ROBOTICA PRACTICA - TECNOLOGIA Y APLICACIONES","Angulo Usategui",,"2"
"88","MECANICA VECTORIAL PARA INGENIEROS - ESTATICA","Beer","Johnston","5"
"89","RESISTENCIA DOS MATERIAIS","Beer, Ferdinand","Russell, Johnston","1"
"90","ALGEBRA LINEAL","Fraleigh","Beaurengrad","1"
"91","INSTALACION ELECTRICA DE BAJA TENSION                                                               ","Kemper; Messeguer                                                                                   ","Kihara; Herreros                                                                                    ","1"
"92","NOVELL NETWARE - SOLUCIONARIO DE PROBLEMAS","Scarola",,"1"
"93","VISION ARTIFICIAL POR COMPUTADOR","Angulo","I?igo Madrigal","1"
"94","N.C.R. IMOS COBOL STUDENT TEXT","N.C.R.",,"1"
"95","CALCULO CON GEOMETRIA ANALITICA","Purcell","Varberg","6"
"96","CONJUNTOS - APLICACIONES MATEMATICAS A LA ADMINIST","KLEIMAN",,"1"
"97","ALGEBRA  LINEAL","Jesus Rojo",,"2"
"98","ANALISIS ESTRUCTURADO MODERNO                                                                       ","Yourdon                                                                                             ","                                                                                                    ","1"
"99","ANALISIS DE REDES","Van Valkenburg",,"8"
"100","LINHAS DE TRANSMISSAO E CIRCUITOS","Johnson",,
"101","ACIONAMENTOS ELETRICOS","Claiton Moro Franchi",,"4"
